Step,NodeId
1,0
2,1
3,2
4,3
5,14
6,16
7,38
8,40
9,258
10,260
11,321
12,323
13,325
14,327
15,369
16,371
17,373
18,375
19,417
20,419
21,421
22,423
23,15
24,17
25,39
26,41
27,259
28,261
29,282
30,284
31,286
32,322
33,324
34,326
35,328
36,370
37,372
38,374
39,376
40,418
41,420
42,422
43,424
44,283
45,285
46,287
47,234
48,236
49,8
50,11
51,26
52,29
53,32
54,35
55,50
56,53
57,56
58,59
59,84
60,87
61,345
62,348
63,351
64,354
65,357
66,360
67,363
68,366
69,393
70,396
71,399
72,402
73,405
74,408
75,411
76,414
77,441
78,444
79,447
80,450
81,2580
82,2582
83,2584
84,2586
85,2588
86,2590
87,2592
88,2594
89,2596
90,2598
91,2600
92,2602
93,2604
94,2606
95,2608
96,2610
97,2612
98,2614
99,2616
100,2618
101,2620
102,2622
103,2624
104,2626
105,2628
106,2630
107,2632
108,2634
109,2636
110,2638
111,2640
112,2642
113,456
114,459
115,462
116,4
117,5
118,9
119,1752
120,10
121,1754
122,6
123,7
124,12
125,1753
126,13
127,1755
128,1751
129,18
130,19
131,27
132,1760
133,28
134,1764
135,20
136,21
137,30
138,1761
139,31
140,1765
141,1757
142,22
143,23
144,33
145,1762
146,34
147,1766
148,1749
149,24
150,25
151,36
152,1763
153,37
154,1767
155,1759
156,1750
157,42
158,43
159,51
160,1772
161,52
162,1776
163,44
164,45
165,54
166,1773
167,55
168,1777
169,1769
170,46
171,47
172,57
173,1774
174,58
175,1778
176,1756
177,48
178,49
179,60
180,1775
181,61
182,1779
183,1771
184,1758
185,80
186,81
187,85
188,1790
189,82
190,83
191,88
192,1791
193,300
194,303
195,306
196,309
197,312
198,315
199,329
200,330
201,346
202,1916
203,331
204,332
205,349
206,1917
207,333
208,334
209,352
210,1918
211,335
212,336
213,355
214,1919
215,337
216,338
217,358
218,1920
219,339
220,340
221,361
222,1921
223,341
224,342
225,364
226,1922
227,343
228,344
229,367
230,1923
231,377
232,378
233,394
234,1940
235,379
236,380
237,397
238,1941
239,381
240,382
241,400
242,1942
243,383
244,384
245,403
246,1943
247,385
248,386
249,406
250,1944
251,387
252,388
253,409
254,1945
255,389
256,390
257,412
258,1946
259,391
260,392
261,415
262,1947
263,425
264,426
265,442
266,1964
267,427
268,428
269,445
270,1965
271,429
272,430
273,448
274,1966
275,431
276,432
277,451
278,1967
279,433
280,434
281,454
282,1968
283,435
284,436
285,457
286,1969
287,437
288,438
289,460
290,1970
291,439
292,440
293,463
294,1971
295,186
296,188
297,210
298,212
299,235
300,237
301,601
302,603
303,605
304,607
305,288
306,289
307,301
308,1896
309,290
310,291
311,304
312,1897
313,292
314,293
315,307
316,1898
317,294
318,295
319,310
320,1899
321,296
322,297
323,313
324,1900
325,298
326,299
327,316
328,1901
329,780
330,786
331,792
332,798
333,2644
334,2646
335,2648
336,2650
337,2652
338,2654
339,2656
340,2658
341,2660
342,2662
343,2664
344,2666
345,2668
346,810
347,816
348,822
349,828
350,834
351,840
352,846
353,2670
354,852
355,2672
356,858
357,2674
358,864
359,2676
360,870
361,2678
362,1064
363,2680
364,1070
365,2682
366,1076
367,2684
368,1082
369,2686
370,1088
371,2688
372,1094
373,2690
374,1100
375,2692
376,1106
377,2694
378,1112
379,2696
380,1118
381,2698
382,1124
383,2700
384,1130
385,2702
