Step,NodeId
1,23
2,32
3,76
4,85
5,125
6,134
7,174
8,183
9,223
10,232
11,235
12,237
13,239
14,241
15,243
16,245
17,247
18,249
19,300
20,309
21,312
22,314
23,316
24,318
25,320
26,322
27,324
28,326
29,373
30,382
31,385
32,387
33,389
34,391
35,393
36,395
37,397
38,399
39,446
40,455
41,458
42,460
43,462
44,464
45,466
46,468
47,470
48,472
49,523
50,532
51,535
52,537
53,539
54,541
55,543
56,545
57,547
58,549
59,600
60,609
61,612
62,614
63,616
64,618
65,620
66,622
67,624
68,626
69,673
70,682
71,685
72,687
73,689
74,691
75,693
76,695
77,697
78,699
79,746
80,755
81,758
82,760
83,762
84,764
85,766
86,768
87,770
88,772
89,823
90,832
91,835
92,837
93,839
94,841
95,843
96,845
97,847
98,849
99,885
100,910
101,919
102,922
103,924
104,926
105,928
106,930
107,932
108,934
109,936
110,968
111,993
112,1002
113,1005
114,1007
115,1009
116,1011
117,1013
118,1015
119,1017
120,1019
121,1051
122,1076
123,1085
124,1088
125,1090
126,1092
127,1094
128,1096
129,1098
130,1100
131,1102
132,1134
133,24
134,33
135,77
136,86
137,126
138,135
139,175
140,184
141,224
142,233
143,301
144,310
145,374
146,383
147,447
148,456
149,524
150,533
151,601
152,610
153,674
154,683
155,747
156,756
157,824
158,833
159,911
160,920
161,994
162,1003
163,1077
164,1086
165,5
166,6
167,1716
168,14
169,1718
170,15
171,19
172,1720
173,1722
174,1724
175,1726
176,1728
177,1730
178,1732
179,1734
180,1736
181,1738
182,1740
183,1742
184,1744
185,1746
186,1748
187,1750
188,1752
189,1754
190,1756
191,1758
192,1760
193,1762
194,1764
195,1766
196,1768
197,1770
198,1772
199,1774
200,1776
201,1778
202,1780
203,1782
204,1784
205,1786
206,1788
207,1790
208,1792
209,1794
210,1796
211,1798
212,1800
213,1802
214,1804
215,1806
216,1808
217,1810
218,1812
219,1814
220,1816
221,1818
222,1820
223,1822
224,1824
225,1826
226,1828
227,1830
228,1832
229,1834
230,1836
231,1838
232,1840
233,1842
234,1844
235,1846
236,1848
237,1850
238,1852
239,1854
240,1856
241,1858
242,1860
243,1862
244,1864
245,1866
246,1868
247,1870
248,1872
249,1874
250,1876
251,1878
252,1880
253,1882
254,1884
255,1886
256,1888
257,1890
258,1892
259,1894
260,1896
261,1898
262,1900
263,1902
264,1904
265,1906
266,1908
267,1910
268,1912
269,1914
270,1916
271,1918
272,1920
273,1922
274,1924
275,1926
276,1928
277,1930
278,1932
279,1934
280,1936
281,1938
282,1940
283,1942
284,1944
285,1946
286,1948
287,1950
288,1952
289,1954
290,1956
291,1958
292,1960
293,1962
294,1964
295,1966
296,1968
297,1970
298,1972
299,1974
300,1976
301,1978
302,1980
303,1982
304,1984
305,1986
306,1988
307,1990
308,1992
309,1994
310,1996
311,1998
312,2000
313,2002
314,2004
315,2006
316,2008
317,2010
318,2012
319,2014
320,2016
321,2018
322,2020
323,2022
324,2024
325,2026
326,2028
327,2030
328,2032
329,2034
330,2036
331,2038
332,2040
333,2042
334,2044
335,2046
336,2048
337,20
338,26
339,28
340,30
341,2050
342,40
343,2052
344,41
345,2054
346,48
347,2056
348,49
349,53
350,55
351,2058
352,60
353,2060
354,61
355,2062
356,67
357,2064
358,68
359,72
360,2066
361,73
362,2068
363,79
364,2070
365,81
366,2072
367,83
368,2074
369,91
370,2076
371,92
372,2078
373,97
374,2080
375,98
376,2082
377,102
378,2084
379,104
380,2086
381,109
382,2088
383,110
384,2090
385,116
386,2092
387,117
388,2094
389,121
390,2096
391,122
392,2098
393,128
394,2100
395,130
396,2102
397,132
398,2104
399,140
400,2106
401,141
402,2108
403,146
404,2110
405,147
406,2112
407,151
408,2114
409,153
410,2116
411,158
412,2118
413,159
414,2120
415,165
416,2122
417,166
418,2124
419,170
420,2126
421,171
422,2128
423,177
424,2130
425,179
426,2132
427,181
428,2134
429,189
430,2136
431,190
432,2138
433,195
434,2140
435,196
436,2142
437,200
438,2144
439,202
440,2146
441,207
442,2148
443,208
444,2150
445,214
446,2152
447,215
448,2154
449,219
450,2156
451,220
452,2158
453,226
454,2160
455,228
456,2162
457,230
458,2164
459,256
460,2166
461,257
462,2168
463,264
464,2170
465,265
466,2172
467,269
468,2174
469,270
470,2176
471,273
472,2178
473,274
474,2180
475,277
476,2182
477,279
478,2184
479,281
480,2186
481,283
482,2188
483,286
484,2190
485,287
486,2192
487,291
488,2194
489,292
490,2196
491,296
492,2198
493,297
494,2200
495,303
496,2202
497,305
498,2204
499,307
500,2206
501,331
502,2208
503,332
504,2210
505,337
506,2212
507,338
508,2214
509,342
510,2216
511,343
512,2218
513,346
514,2220
515,347
516,2222
517,350
518,2224
519,352
520,2226
521,354
522,2228
523,356
524,2230
525,359
526,2232
527,360
528,2234
529,364
530,2236
531,365
532,2238
533,369
534,2240
535,370
536,2242
537,376
538,2244
539,378
540,2246
541,380
542,2248
543,404
544,2250
545,405
546,2252
547,410
548,2254
549,411
550,2256
551,415
552,2258
553,416
554,2260
555,419
556,2262
557,420
558,2264
559,423
560,2266
561,425
562,2268
563,427
564,2270
565,429
566,2272
567,432
568,2274
569,433
570,2276
571,437
572,2278
573,438
574,2280
575,442
576,2282
577,443
578,2284
579,449
580,2286
581,451
582,2288
583,453
584,2290
585,477
586,2292
587,478
588,2294
589,483
590,2296
591,484
592,2298
593,488
594,2300
595,489
596,2302
597,492
598,2304
599,493
600,2306
601,496
602,2308
603,498
604,2310
605,500
606,2312
607,502
608,2314
609,507
610,2316
611,508
612,2318
613,514
614,2320
615,515
616,2322
617,519
618,2324
619,520
620,2326
621,526
622,2328
623,528
624,2330
625,530
626,2332
627,556
628,2334
629,557
630,2336
631,564
632,2338
633,565
634,2340
635,569
636,2342
637,570
638,2344
639,573
640,2346
641,574
642,2348
643,577
644,2350
645,579
646,2352
647,581
648,2354
649,583
650,2356
651,586
652,2358
653,587
654,2360
655,591
656,2362
657,592
658,2364
659,596
660,2366
661,597
662,2368
663,603
664,2370
665,605
666,2372
667,607
668,2374
669,631
670,2376
671,632
672,2378
673,637
674,2380
675,638
676,2382
677,642
678,2384
679,643
680,2386
681,646
682,2388
683,647
684,2390
685,650
686,2392
687,652
688,2394
689,654
690,2396
691,656
692,2398
693,659
694,2400
695,660
696,2402
697,664
698,2404
699,665
700,2406
701,669
702,2408
703,670
704,2410
705,676
706,2412
707,678
708,2414
709,680
710,2416
711,704
712,2418
713,705
714,2420
715,710
716,2422
717,711
718,2424
719,715
720,2426
721,716
722,2428
723,719
724,2430
725,720
726,2432
727,723
728,2434
729,725
730,2436
731,727
