Step,NodeId
1,1
2,3
3,2
4,4
5,5
6,7
7,6
8,8
9,10
10,12
11,11
12,13
13,30976
14,14
15,16
16,30978
17,15
18,17
19,19
20,21
21,20
22,22
23,30980
24,23
25,25
26,30982
27,24
28,26
29,28
30,30
31,29
32,31
33,30984
34,32
35,34
36,30986
37,33
38,35
39,37
40,39
41,38
42,40
43,30988
44,41
45,43
46,30990
47,42
48,44
49,46
50,48
51,47
52,49
53,30992
54,50
55,52
56,30994
57,51
58,53
59,55
60,57
61,56
62,58
63,30996
64,59
65,61
66,30998
67,60
68,62
69,64
70,66
71,65
72,67
73,31000
74,68
75,70
76,31002
77,69
78,71
79,73
80,75
81,74
82,76
83,31004
84,77
85,79
86,31006
87,78
88,80
89,82
90,84
91,83
92,85
93,31008
94,86
95,88
96,31010
97,87
98,89
99,91
100,93
101,92
102,94
103,31012
104,95
105,97
106,31014
107,96
108,98
109,100
110,102
111,101
112,103
113,31016
114,104
115,106
116,31018
117,105
118,107
119,109
120,111
121,110
122,112
123,31020
124,113
125,115
126,31022
127,114
128,116
129,118
130,120
131,119
132,121
133,31024
134,122
135,124
136,31026
137,123
138,125
139,127
140,129
141,128
142,130
143,31028
144,131
145,133
146,31030
147,132
148,134
149,136
150,138
151,137
152,139
153,31032
154,140
155,142
156,31034
157,141
158,143
159,31036
160,31038
161,31040
162,31042
163,31044
164,31046
165,31048
166,31050
167,31052
168,31054
169,31056
170,31058
171,31060
172,31062
173,31064
174,31066
175,31068
176,31070
177,31072
178,31074
179,31076
180,31078
181,31080
182,31082
183,31084
184,31086
185,31088
186,31090
187,31092
188,31094
189,31096
190,31098
191,147
192,148
193,31100
194,149
195,151
196,31102
197,150
198,152
199,154
200,155
201,31104
202,156
203,158
204,31106
205,157
206,159
207,161
208,162
209,31108
210,163
211,165
212,31110
213,164
214,166
215,168
216,169
217,31112
218,170
219,172
220,31114
221,171
222,173
223,175
224,176
225,31116
226,177
227,179
228,31118
229,178
230,180
231,182
232,183
233,31120
234,184
235,186
236,31122
237,185
238,187
239,189
240,190
241,31124
242,191
243,193
244,31126
245,192
246,194
247,196
248,197
249,31128
250,198
251,200
252,31130
253,199
254,201
255,203
256,204
257,31132
258,205
259,207
260,31134
261,206
262,208
263,210
264,211
265,31136
