BufId,Offset
0,1928
1,1664
2,2849
3,48
4,104
5,1664
6,1920
7,768
8,84
9,2344
10,2885
11,120
12,2849
13,768
14,1664
15,1920
16,156
17,2488
18,768
19,1664
20,1920
21,192
22,3064
24,2913
25,2921
26,0
27,2993
28,420
29,0
30,3057
31,768
32,1664
33,1920
34,36
35,3568
36,768
37,1664
38,1920
39,72
40,1896
41,108
42,3121
43,144
44,3185
45,4
46,3249
47,2957
48,180
49,3313
50,768
51,1664
52,1920
53,0
54,2128
55,768
56,1664
57,1920
58,36
59,248
60,72
61,3377
62,108
63,3441
64,8
65,3505
66,144
67,3569
68,2128
70,1168
71,3633
72,3697
73,2200
74,0
75,3761
76,768
77,1664
78,1920
79,180
80,880
81,768
82,1664
83,1920
84,0
85,1008
86,36
87,3825
88,72
89,3889
90,12
91,3953
92,108
93,155
94,72
95,520
96,224
97,288
98,381
99,144
100,445
101,2272
103,2904
104,768
105,1664
106,1920
107,144
108,648
109,768
110,1664
111,1920
112,180
113,3208
114,0
115,509
116,36
117,607
118,16
119,671
120,72
121,735
122,0
123,3336
124,799
125,863
126,927
127,72
128,991
129,768
130,1664
131,1920
132,108
133,2632
134,768
135,1664
136,1920
137,144
138,2760
139,180
140,1055
141,0
142,1119
143,20
144,1183
145,36
146,1247
147,144
148,2888
149,1311
150,1375
151,1439
153,1503
154,0
155,2936
156,2344
157,72
158,1567
159,652
160,224
161,2968
162,768
163,1664
164,1920
165,72
166,1392
167,768
168,1664
169,1920
170,108
171,1520
172,144
173,1631
174,180
175,1695
176,24
177,1759
178,0
179,1823
180,144
181,1648
182,1887
183,1951
184,2015
186,2079
187,768
188,1664
189,1920
190,36
191,376
192,768
193,1664
194,1920
195,72
196,0
197,108
198,2143
199,144
200,2207
201,28
202,2271
203,180
204,2335
205,0
206,2256
207,2399
208,2463
209,2527
210,72
211,2591
212,144
213,3000
215,2655
216,232
217,3032
218,2416
219,0
220,3064
221,768
222,1664
223,1920
224,0
225,2488
226,768
227,1664
228,1920
229,36
230,3016
231,72
232,2719
233,108
234,2783
235,32
236,2847
237,144
238,2911
239,72
240,3464
241,2993
242,3057
243,3121
244,144
245,3185
246,768
247,1664
248,1920
249,180
250,1776
251,768
252,1664
253,1920
254,0
255,2024
256,36
257,3249
258,72
259,3313
260,36
261,3377
262,108
263,3441
265,248
266,3505
267,3569
268,3633
269,0
270,3697
271,72
272,3096
273,144
274,3761
275,240
276,3128
278,3160
279,2488
280,0
281,3192
282,768
283,1664
284,1920
285,144
286,1168
287,768
288,1664
289,1920
290,180
291,776
292,0
293,3825
294,36
295,3889
296,40
297,3953
298,72
299,142
300,72
301,904
302,219
303,283
304,352
305,144
306,416
307,768
308,1664
309,1920
310,108
311,520
312,768
313,1664
314,1920
315,144
316,648
317,180
318,480
319,0
320,605
321,44
322,669
323,36
324,733
326,3208
327,797
328,861
329,925
330,0
331,989
332,72
333,3224
334,144
335,1053
336,248
337,3256
339,3288
340,0
341,3320
342,2560
343,72
344,908
345,768
346,1664
347,1920
348,72
349,3336
350,768
351,1664
352,1920
353,108
354,2632
355,144
356,1117
357,180
358,1181
359,48
360,1245
361,0
362,1309
363,144
364,2760
365,1373
366,1437
367,1501
369,1565
370,768
371,1664
372,1920
373,36
374,2888
375,768
376,1664
377,1920
378,72
379,1296
380,108
381,1629
382,144
383,1693
384,52
385,1757
386,180
387,1821
388,0
389,1424
390,1885
391,1949
392,2013
393,72
394,2077
395,144
396,3352
398,2141
400,3384
