BufId,Offset
0,3812
1,3748
2,664
3,0
4,396
5,3748
6,3748
7,3748
8,0
9,2228
10,760
11,0
12,760
13,3748
14,3748
15,3748
16,0
17,3876
18,3748
19,3748
20,3748
21,0
22,744
23,0
24,1508
25,796
26,0
27,1508
28,420
29,0
30,1780
31,3748
32,3748
33,3748
34,0
35,2532
36,3748
37,3748
38,3748
39,0
40,2228
41,0
42,760
43,0
44,1508
45,0
46,760
47,832
48,0
49,1508
50,3748
51,3748
52,3748
53,0
54,396
55,3748
56,3748
57,3748
58,0
59,744
60,0
61,1780
62,0
63,760
64,0
65,1780
66,0
67,760
68,396
69,0
70,3876
71,1508
72,1780
73,3876
74,0
75,760
76,3748
77,3748
78,3748
79,0
80,2228
81,3748
82,3748
83,3748
84,0
85,2532
86,0
87,760
88,0
89,760
90,0
91,123
92,0
93,760
94,0
95,744
96,123
97,760
98,300
99,0
100,1508
101,278
102,0
103,3108
104,3748
105,3748
106,3748
107,0
108,3876
109,3748
110,3748
111,3748
112,0
113,396
114,0
115,1508
116,0
117,1508
118,0
119,1508
120,0
121,1508
122,0
123,2532
124,1508
125,1780
126,824
127,0
128,123
129,3748
130,3748
131,3748
132,0
133,2228
134,3748
135,3748
136,3748
137,0
138,744
139,0
140,123
141,0
142,123
143,0
144,123
145,0
146,123
147,0
148,396
149,123
150,760
151,300
152,0
153,1508
154,0
155,3140
156,108
157,0
158,1508
159,652
160,0
161,3172
162,3748
163,3748
164,3748
165,0
166,2532
167,3748
168,3748
169,3748
170,0
171,3876
172,0
173,1508
174,0
175,1508
176,0
177,1508
178,0
179,1508
180,0
181,2228
182,1508
183,1780
184,824
185,0
186,123
187,3748
188,3748
189,3748
190,0
191,744
192,3748
193,3748
194,3748
195,0
196,396
197,0
198,123
199,0
200,123
201,0
202,123
203,0
204,123
205,0
206,3812
207,123
208,760
209,300
210,0
211,1508
212,0
213,3204
214,0
215,1508
216,0
217,3236
218,2228
219,0
220,3268
221,3748
222,3748
223,3748
224,0
225,2228
226,3748
227,3748
228,3748
229,0
230,2532
231,0
232,1508
233,0
234,1508
235,0
236,1508
237,0
238,1508
239,0
240,396
241,1508
242,1780
243,824
244,0
245,123
246,3748
247,3748
248,3748
249,0
250,744
251,3748
252,3748
253,3748
254,0
255,3812
256,0
257,123
258,0
259,123
260,0
261,123
262,0
263,123
264,0
