BufId,NewOffset
5,0
6,8
15,16
16,24
17,32
18,40
27,48
28,56
29,64
30,72
43,80
44,88
175,96
176,104
177,112
178,120
179,128
180,136
181,144
182,152
199,160
200,168
201,176
202,184
203,192
204,200
205,208
206,216
223,224
224,232
225,240
226,248
228,0
229,8
230,16
153,24
154,40
155,56
156,72
157,88
158,104
377,120
380,152
383,184
386,216
392,0
395,32
398,64
401,96
404,128
407,160
410,192
413,0
416,32
419,64
422,96
513,128
516,160
519,192
522,0
525,32
528,64
531,96
534,128
537,160
540,192
543,0
546,32
549,64
552,96
555,128
558,160
38,0
53,72
54,0
55,72
56,0
65,72
66,0
67,72
68,0
77,72
78,0
79,72
80,0
89,72
90,0
91,72
92,0
101,72
102,0
103,72
104,0
113,72
114,0
115,72
116,0
125,72
126,0
127,72
128,0
247,72
248,0
249,72
250,0
251,72
252,0
253,72
254,0
279,72
280,0
281,72
282,0
283,72
284,0
285,72
286,0
287,72
288,0
289,72
290,0
291,72
292,0
293,72
294,0
319,72
320,0
321,72
322,0
323,72
324,0
325,72
326,0
327,72
328,0
329,72
330,0
331,72
332,0
333,72
334,0
359,72
360,0
361,72
362,0
363,72
364,0
365,72
366,0
367,72
368,0
369,72
370,0
371,72
372,0
373,72
374,0
455,72
456,0
457,72
458,0
459,72
460,0
461,72
462,0
463,72
464,0
465,72
466,0
467,72
468,0
469,72
470,0
495,72
496,0
497,72
498,0
499,72
500,0
501,72
502,0
503,72
504,0
505,72
506,0
507,72
508,0
509,72
510,0
583,72
584,0
585,72
586,0
587,72
588,0
589,72
590,0
615,72
616,0
617,72
618,0
619,72
620,0
621,72
622,0
623,72
624,0
625,72
626,0
627,72
628,0
629,72
630,0
655,72
656,0
657,72
658,0
659,72
660,0
661,72
662,0
663,72
664,0
665,72
666,0
667,72
668,0
669,72
670,0
695,72
696,0
697,72
698,0
699,72
700,0
701,72
702,0
703,72
704,0
705,72
706,0
707,72
708,0
709,72
710,0
735,72
736,0
737,72
738,0
739,72
740,0
741,72
742,0
743,72
744,0
745,72
746,0
747,72
748,0
749,72
750,0
775,72
776,0
777,72
778,0
779,72
780,0
781,72
782,0
783,72
784,0
785,72
786,0
787,72
788,0
789,72
790,0
815,72
816,0
817,72
818,0
819,72
820,0
821,72
822,0
823,72
824,0
825,72
826,0
827,72
828,0
829,72
830,0
137,72
139,0
19,5
21,6
129,7
131,8
159,9
161,10
163,11
165,12
183,13
185,14
187,15
189,16
207,17
209,18
211,19
213,20
130,29
132,31
141,33
143,35
145,37
160,39
162,41
164,43
166,45
184,47
186,49
188,51
190,53
208,55
210,57
212,59
214,61
142,63
144,67
146,71
117,75
119,81
93,87
95,111
105,135
107,159
118,183
120,207
295,231
297,255
299,279
301,303
335,327
337,375
339,423
341,471
375,519
378,567
381,615
384,663
387,711
390,759
393,807
396,855
399,903
402,951
405,999
408,1047
411,1095
414,1143
417,1191
420,1239
81,1287
83,1383
94,1479
96,1575
106,1671
108,1767
231,1863
233,1959
235,2055
237,2151
255,2247
257,2343
259,2439
261,2535
296,2631
298,2727
300,2823
302,2919
336,3015
338,3111
340,3207
342,3303
431,3399
433,3495
435,3591
437,3687
423,3783
425,21
426,213
427,405
428,597
429,789
430,981
471,1173
473,1365
475,1557
477,1749
511,1941
514,2133
517,2325
520,2517
523,2709
526,2901
529,3093
532,3285
535,3477
538,3669
541,2
544,194
547,386
550,578
553,770
556,962
32,0
45,384
47,768
57,1154
59,1538
69,1922
71,2306
82,2690
84,3074
232,3458
236,0
238,384
256,768
258,1152
260,1536
262,1920
432,2304
434,2688
436,3072
438,3456
474,0
476,384
478,768
567,1152
569,1536
571,1920
573,2304
591,2688
593,3072
595,3456
631,0
633,384
635,768
637,1152
33,1536
34,2304
39,3072
559,0
560,768
561,1536
562,2304
563,3072
565,0
566,768
671,1536
673,2304
675,3072
711,0
713,768
715,1536
717,2304
751,3072
755,0
757,768
791,1536
793,2304
795,3072
