BufId,NewOffset
11,0
16,2
38,4
43,6
63,8
68,10
88,12
93,14
113,16
118,18
120,20
121,22
122,24
123,26
124,28
125,30
126,32
127,34
152,36
157,38
159,40
160,42
161,44
162,46
163,48
164,50
165,52
166,54
189,56
194,58
196,60
197,62
198,64
199,66
200,68
201,70
202,72
203,74
226,76
231,78
233,80
234,82
235,84
236,86
237,88
238,90
239,92
240,94
265,96
270,98
272,100
273,102
274,104
275,106
276,108
277,110
278,112
279,114
304,116
309,118
311,120
312,122
313,124
314,126
315,128
316,130
317,132
318,134
341,136
346,138
348,140
349,142
350,144
351,146
352,148
353,150
354,152
355,154
378,156
383,158
385,160
386,162
387,164
388,166
389,168
390,170
391,172
392,174
417,176
422,178
424,180
425,182
426,184
427,186
428,188
429,190
430,192
431,194
449,196
459,198
464,200
466,202
467,204
468,206
469,208
470,210
471,212
472,214
473,216
489,218
499,220
504,222
506,224
507,226
508,228
509,230
510,232
511,234
512,236
513,238
529,240
539,242
544,244
546,246
547,248
548,250
549,252
550,254
551,256
552,258
553,260
569,262
12,264
17,280
39,296
44,312
64,328
69,344
89,360
94,376
114,392
119,408
153,424
158,440
190,456
195,472
227,488
232,504
266,520
271,536
305,552
310,568
342,584
347,600
379,616
384,632
418,648
423,664
460,680
465,696
500,712
505,728
540,744
545,760
9,776
3,0
7,128
4,0
8,128
25,0
31,128
26,0
32,128
13,0
14,128
15,256
27,384
28,512
47,0
50,128
48,0
51,128
36,640
37,768
40,0
41,128
42,256
59,0
72,128
60,0
73,128
52,384
53,512
61,640
62,768
65,0
66,128
67,256
81,0
84,128
82,0
85,128
77,384
78,512
100,0
106,128
101,0
107,128
86,640
87,768
90,0
91,128
92,256
102,384
103,512
111,640
112,768
115,0
116,128
117,256
137,384
131,0
135,128
132,0
136,128
138,512
139,640
140,768
141,0
142,128
148,0
169,128
149,0
170,128
143,256
144,384
150,512
151,640
154,768
155,0
156,128
174,256
175,384
176,512
177,640
178,768
179,0
183,0
185,128
184,0
186,128
180,128
181,256
187,384
188,512
191,640
192,768
193,0
211,128
209,0
220,128
210,0
221,128
212,256
213,384
214,512
215,640
216,768
217,0
218,128
224,256
225,384
228,512
229,640
230,768
248,0
243,0
246,128
244,0
247,128
249,128
250,256
251,384
252,512
253,640
261,0
283,128
262,0
284,128
254,768
255,0
263,128
264,256
267,384
268,512
269,640
289,768
290,0
291,128
292,256
293,384
294,512
298,0
300,128
299,0
301,128
295,640
296,768
302,0
303,128
306,256
307,384
308,512
326,640
324,0
335,128
325,0
336,128
327,768
328,0
329,128
330,256
331,384
332,512
333,640
339,768
340,0
343,128
344,256
345,384
363,512
358,0
361,128
359,0
362,128
364,640
365,768
366,0
367,128
368,256
374,0
395,128
375,0
396,128
369,384
370,512
376,640
377,768
380,0
381,128
382,256
400,384
401,512
402,640
403,768
404,0
405,128
410,0
413,128
411,0
414,128
406,256
407,384
415,512
416,640
419,768
420,0
421,128
441,256
442,384
443,512
439,0
453,128
440,0
454,128
444,640
445,768
446,0
447,128
448,256
450,384
451,512
457,640
458,768
461,0
462,128
463,256
481,384
482,512
483,640
476,0
479,128
477,0
480,128
484,768
485,0
486,128
487,256
488,384
495,0
516,128
496,0
517,128
490,512
491,640
497,768
498,0
501,128
502,256
503,384
521,512
522,640
523,768
524,0
525,128
526,256
527,384
528,512
533,0
535,128
534,0
536,128
530,640
531,768
537,0
538,128
541,256
542,384
543,512
561,640
562,768
563,0
