NodeId,InDegree
9,3
0,0
2944,2
3,1
1,0
2945,9
4,1
2,0
2946,9
7,2
79,2
137,2
195,2
253,2
311,2
369,2
427,2
8,2
486,2
838,2
1190,2
1542,2
1894,2
2246,2
2598,2
5,0
2947,2
6,0
2948,2
18,3
12,1
10,0
2949,9
13,1
11,0
2950,9
16,2
86,2
144,2
202,2
260,2
318,2
376,2
434,2
17,2
493,2
845,2
1197,2
1549,2
1901,2
2253,2
2605,2
14,0
2951,2
15,0
2952,2
27,3
21,1
19,0
2953,9
22,1
20,0
2954,9
25,2
93,2
151,2
209,2
267,2
325,2
383,2
441,2
26,2
500,2
852,2
1204,2
1556,2
1908,2
2260,2
2612,2
23,0
2955,2
24,0
2956,2
36,3
30,1
28,0
2957,9
31,1
29,0
2958,9
34,2
100,2
158,2
216,2
274,2
332,2
390,2
448,2
35,2
507,2
859,2
1211,2
1563,2
1915,2
2267,2
2619,2
32,0
2959,2
33,0
2960,2
45,3
39,1
37,0
2961,9
40,1
38,0
2962,9
43,2
107,2
165,2
223,2
281,2
339,2
397,2
455,2
44,2
514,2
866,2
1218,2
1570,2
1922,2
2274,2
2626,2
41,0
2963,2
42,0
2964,2
54,3
48,1
46,0
2965,9
49,1
47,0
2966,9
52,2
114,2
172,2
230,2
288,2
346,2
404,2
462,2
53,2
521,2
873,2
1225,2
1577,2
1929,2
2281,2
2633,2
50,0
2967,2
51,0
2968,2
63,3
57,1
55,0
2969,9
58,1
56,0
2970,9
61,2
121,2
179,2
237,2
295,2
353,2
411,2
469,2
62,2
528,2
880,2
1232,2
1584,2
1936,2
2288,2
2640,2
59,0
2971,2
60,0
2972,2
72,3
66,1
64,0
2973,9
67,1
65,0
2974,9
70,2
128,2
186,2
244,2
302,2
360,2
418,2
476,2
71,2
535,2
887,2
1239,2
1591,2
1943,2
2295,2
2647,2
68,0
2975,2
69,0
2976,2
73,1
81,3
74,0
2977,2
76,1
75,0
2978,9
80,2
542,2
894,2
1246,2
1598,2
1950,2
2302,2
2654,2
77,0
2979,2
78,0
2980,2
88,3
83,1
82,0
2981,9
87,2
547,2
899,2
1251,2
1603,2
1955,2
2307,2
2659,2
84,0
2982,2
85,0
2983,2
95,3
90,1
89,0
2984,9
94,2
552,2
904,2
1256,2
1608,2
1960,2
2312,2
2664,2
91,0
2985,2
92,0
2986,2
102,3
97,1
96,0
2987,9
101,2
557,2
909,2
1261,2
1613,2
1965,2
2317,2
2669,2
98,0
2988,2
99,0
2989,2
109,3
104,1
103,0
2990,9
108,2
562,2
914,2
1266,2
1618,2
1970,2
2322,2
2674,2
105,0
2991,2
106,0
2992,2
116,3
111,1
110,0
2993,9
115,2
567,2
919,2
1271,2
1623,2
1975,2
2327,2
2679,2
112,0
2994,2
113,0
2995,2
123,3
118,1
117,0
2996,9
122,2
572,2
924,2
1276,2
1628,2
1980,2
2332,2
2684,2
119,0
2997,2
120,0
2998,2
130,3
125,1
124,0
2999,9
129,2
577,2
929,2
1281,2
1633,2
1985,2
2337,2
2689,2
126,0
3000,2
127,0
3001,2
131,1
139,3
132,0
3002,2
134,1
133,0
3003,9
138,2
584,2
936,2
1288,2
1640,2
1992,2
2344,2
2696,2
135,0
3004,2
136,0
3005,2
146,3
141,1
140,0
3006,9
145,2
589,2
941,2
1293,2
1645,2
1997,2
2349,2
2701,2
142,0
3007,2
143,0
3008,2
153,3
148,1
147,0
3009,9
152,2
594,2
946,2
1298,2
1650,2
2002,2
2354,2
2706,2
149,0
3010,2
150,0
3011,2
160,3
155,1
154,0
3012,9
159,2
599,2
951,2
1303,2
1655,2
2007,2
2359,2
2711,2
156,0
3013,2
157,0
3014,2
167,3
162,1
161,0
3015,9
166,2
604,2
956,2
1308,2
1660,2
2012,2
2364,2
2716,2
163,0
3016,2
164,0
3017,2
174,3
169,1
168,0
3018,9
173,2
609,2
961,2
1313,2
1665,2
2017,2
2369,2
2721,2
170,0
3019,2
171,0
3020,2
181,3
176,1
175,0
3021,9
180,2
614,2
966,2
1318,2
1670,2
2022,2
2374,2
2726,2
177,0
3022,2
178,0
3023,2
188,3
183,1
182,0
3024,9
187,2
619,2
971,2
1323,2
1675,2
2027,2
2379,2
2731,2
184,0
3025,2
185,0
3026,2
189,1
197,3
190,0
3027,2
192,1
191,0
3028,9
196,2
626,2
978,2
1330,2
1682,2
2034,2
2386,2
2738,2
193,0
3029,2
194,0
3030,2
204,3
199,1
198,0
3031,9
203,2
631,2
983,2
1335,2
1687,2
2039,2
2391,2
2743,2
200,0
3032,2
201,0
3033,2
211,3
206,1
205,0
3034,9
210,2
636,2
988,2
1340,2
1692,2
2044,2
