NodeId,InDegree
9,3
0,0
22016,2
3,1
1,0
22017,17
4,1
2,0
22018,17
7,2
151,2
265,2
379,2
493,2
607,2
721,2
835,2
949,2
1063,2
1177,2
1291,2
1405,2
1519,2
1633,2
1747,2
8,2
1862,2
3206,2
4550,2
5894,2
7238,2
8582,2
9926,2
11270,2
12614,2
13958,2
15302,2
16646,2
17990,2
19334,2
20678,2
5,0
22019,2
6,0
22020,2
18,3
12,1
10,0
22021,17
13,1
11,0
22022,17
16,2
158,2
272,2
386,2
500,2
614,2
728,2
842,2
956,2
1070,2
1184,2
1298,2
1412,2
1526,2
1640,2
1754,2
17,2
1869,2
3213,2
4557,2
5901,2
7245,2
8589,2
9933,2
11277,2
12621,2
13965,2
15309,2
16653,2
17997,2
19341,2
20685,2
14,0
22023,2
15,0
22024,2
27,3
21,1
19,0
22025,17
22,1
20,0
22026,17
25,2
165,2
279,2
393,2
507,2
621,2
735,2
849,2
963,2
1077,2
1191,2
1305,2
1419,2
1533,2
1647,2
1761,2
26,2
1876,2
3220,2
4564,2
5908,2
7252,2
8596,2
9940,2
11284,2
12628,2
13972,2
15316,2
16660,2
18004,2
19348,2
20692,2
23,0
22027,2
24,0
22028,2
36,3
30,1
28,0
22029,17
31,1
29,0
22030,17
34,2
172,2
286,2
400,2
514,2
628,2
742,2
856,2
970,2
1084,2
1198,2
1312,2
1426,2
1540,2
1654,2
1768,2
35,2
1883,2
3227,2
4571,2
5915,2
7259,2
8603,2
9947,2
11291,2
12635,2
13979,2
15323,2
16667,2
18011,2
19355,2
20699,2
32,0
22031,2
33,0
22032,2
45,3
39,1
37,0
22033,17
40,1
38,0
22034,17
43,2
179,2
293,2
407,2
521,2
635,2
749,2
863,2
977,2
1091,2
1205,2
1319,2
1433,2
1547,2
1661,2
1775,2
44,2
1890,2
3234,2
4578,2
5922,2
7266,2
8610,2
9954,2
11298,2
12642,2
13986,2
15330,2
16674,2
18018,2
19362,2
20706,2
41,0
22035,2
42,0
22036,2
54,3
48,1
46,0
22037,17
49,1
47,0
22038,17
52,2
186,2
300,2
414,2
528,2
642,2
756,2
870,2
984,2
1098,2
1212,2
1326,2
1440,2
1554,2
1668,2
1782,2
53,2
1897,2
3241,2
4585,2
5929,2
7273,2
8617,2
9961,2
11305,2
12649,2
13993,2
15337,2
16681,2
18025,2
19369,2
20713,2
50,0
22039,2
51,0
22040,2
63,3
57,1
55,0
22041,17
58,1
56,0
22042,17
61,2
193,2
307,2
421,2
535,2
649,2
763,2
877,2
991,2
1105,2
1219,2
1333,2
1447,2
1561,2
1675,2
1789,2
62,2
1904,2
3248,2
4592,2
5936,2
7280,2
8624,2
9968,2
11312,2
12656,2
14000,2
15344,2
16688,2
18032,2
19376,2
20720,2
59,0
22043,2
60,0
22044,2
72,3
66,1
64,0
22045,17
67,1
65,0
22046,17
70,2
200,2
314,2
428,2
542,2
656,2
770,2
884,2
998,2
1112,2
1226,2
1340,2
1454,2
1568,2
1682,2
1796,2
71,2
1911,2
3255,2
4599,2
5943,2
7287,2
8631,2
9975,2
11319,2
12663,2
14007,2
15351,2
16695,2
18039,2
19383,2
20727,2
68,0
22047,2
69,0
22048,2
81,3
75,1
73,0
22049,17
76,1
74,0
22050,17
79,2
207,2
321,2
435,2
549,2
663,2
777,2
891,2
1005,2
1119,2
1233,2
1347,2
1461,2
1575,2
1689,2
1803,2
80,2
1918,2
3262,2
4606,2
5950,2
7294,2
8638,2
9982,2
11326,2
12670,2
14014,2
15358,2
16702,2
18046,2
19390,2
20734,2
77,0
22051,2
78,0
22052,2
90,3
84,1
82,0
22053,17
85,1
83,0
22054,17
88,2
214,2
328,2
442,2
556,2
670,2
784,2
898,2
1012,2
1126,2
1240,2
1354,2
1468,2
1582,2
1696,2
1810,2
89,2
1925,2
3269,2
4613,2
5957,2
7301,2
8645,2
9989,2
11333,2
12677,2
14021,2
15365,2
16709,2
18053,2
19397,2
20741,2
86,0
22055,2
87,0
22056,2
99,3
93,1
91,0
22057,17
94,1
92,0
22058,17
97,2
221,2
335,2
449,2
563,2
677,2
791,2
905,2
1019,2
1133,2
1247,2
1361,2
1475,2
1589,2
1703,2
1817,2
98,2
1932,2
3276,2
4620,2
5964,2
7308,2
8652,2
9996,2
11340,2
12684,2
14028,2
15372,2
16716,2
18060,2
19404,2
20748,2
95,0
22059,2
96,0
22060,2
108,3
102,1
100,0
22061,17
103,1
101,0
22062,17
106,2
228,2
342,2
456,2
570,2
684,2
798,2
912,2
1026,2
1140,2
1254,2
1368,2
1482,2
1596,2
1710,2
1824,2
107,2
1939,2
3283,2
4627,2
5971,2
7315,2
8659,2
